[  UNIXTIME  | DATE                            ] RUSER         PID LEVEL  :: TYPE         : MESSAGE
[ 1493695769 | Mon,  1 May 2017 22:29:29 -0500 ] jameswright  25026 INFO   :: START        : Command line: sak-cli orphans
[ 1493695769 | Mon,  1 May 2017 22:29:29 -0500 ] jameswright  25026 INFO   :: START        : Working dir: /home/holyshovel/public_html
[ 1493695769 | Mon,  1 May 2017 22:29:29 -0500 ] jameswright  25026 INFO   :: START        : Parsed  Args: orphans
[ 1493695771 | Mon,  1 May 2017 22:29:31 -0500 ] jameswright  25026 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli_orphans /root/bin/.sak/modules/cli
[ 1494386069 | Tue,  9 May 2017 22:14:29 -0500 ]              2845 INFO   :: START        : Command line: sak-cli holyshovel.com
[ 1494386069 | Tue,  9 May 2017 22:14:29 -0500 ]              2845 INFO   :: START        : Working dir: /root
[ 1494386069 | Tue,  9 May 2017 22:14:29 -0500 ]              2845 INFO   :: START        : Parsed  Args: holyshovel.com
[ 1494386069 | Tue,  9 May 2017 22:14:29 -0500 ]              2845 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1494386093 | Tue,  9 May 2017 22:14:53 -0500 ]              2907 INFO   :: START        : Command line: sak-cli wp holyshovel.com
[ 1494386093 | Tue,  9 May 2017 22:14:53 -0500 ]              2907 INFO   :: START        : Working dir: /root
[ 1494386093 | Tue,  9 May 2017 22:14:53 -0500 ]              2907 INFO   :: START        : Parsed  Args: wp holyshovel.com
[ 1494386093 | Tue,  9 May 2017 22:14:53 -0500 ]              2907 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli_wp /root/bin/.sak/modules/soft/wordpress/cli
[ 1494386165 | Tue,  9 May 2017 22:16:05 -0500 ]              3068 INFO   :: START        : Command line: sak-cli wp info holyshovel.com
[ 1494386165 | Tue,  9 May 2017 22:16:05 -0500 ]              3068 INFO   :: START        : Working dir: /root
[ 1494386165 | Tue,  9 May 2017 22:16:05 -0500 ]              3068 INFO   :: START        : Parsed  Args: wp info holyshovel.com
[ 1494386165 | Tue,  9 May 2017 22:16:05 -0500 ]              3068 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli_wp_info /root/bin/.sak/modules/soft/wordpress/cli
[ 1507319746 | Fri,  6 Oct 2017 14:55:46 -0500 ]             15364 INFO   :: START        : Command line: sak-cli 
[ 1507319747 | Fri,  6 Oct 2017 14:55:47 -0500 ]             15364 INFO   :: START        : Working dir: /root/bin
[ 1507319747 | Fri,  6 Oct 2017 14:55:47 -0500 ]             15364 INFO   :: START        : Parsed  Args: 
[ 1507319747 | Fri,  6 Oct 2017 14:55:47 -0500 ]             15364 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1507319747 | Fri,  6 Oct 2017 14:55:47 -0500 ]             15364 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal ./sak-cli
[ 1507321362 | Fri,  6 Oct 2017 15:22:42 -0500 ]             15925 INFO   :: START        : Command line: sak holyshovel.com
[ 1507321362 | Fri,  6 Oct 2017 15:22:42 -0500 ]             15925 INFO   :: START        : Working dir: /root/bin
[ 1507321362 | Fri,  6 Oct 2017 15:22:42 -0500 ]             15925 INFO   :: START        : Parsed  Args: holyshovel.com
[ 1507321362 | Fri,  6 Oct 2017 15:22:42 -0500 ]             15925 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 235 sak_add_targets /root/bin/sak
[ 1507321362 | Fri,  6 Oct 2017 15:22:42 -0500 ]             15925 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak
[ 1507321369 | Fri,  6 Oct 2017 15:22:49 -0500 ]             15962 INFO   :: START        : Command line: sak holyshovel
[ 1507321369 | Fri,  6 Oct 2017 15:22:49 -0500 ]             15962 INFO   :: START        : Working dir: /root/bin
[ 1507321369 | Fri,  6 Oct 2017 15:22:49 -0500 ]             15962 INFO   :: START        : Parsed  Args: holyshovel
[ 1507321369 | Fri,  6 Oct 2017 15:22:49 -0500 ]             15962 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 235 sak_add_targets /root/bin/sak
[ 1507321369 | Fri,  6 Oct 2017 15:22:49 -0500 ]             15962 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak
[ 1507321374 | Fri,  6 Oct 2017 15:22:54 -0500 ]             15992 INFO   :: START        : Command line: sak --help
[ 1507321374 | Fri,  6 Oct 2017 15:22:54 -0500 ]             15992 INFO   :: START        : Working dir: /root/bin
[ 1507321374 | Fri,  6 Oct 2017 15:22:54 -0500 ]             15992 WARN   :: EXIT         : Script exit. Caller = 1 parse_args /root/bin/sak
[ 1510515812 | Sun, 12 Nov 2017 13:43:32 -0600 ]             18206 INFO   :: START        : Command line: sak-cli --hlep
[ 1510515812 | Sun, 12 Nov 2017 13:43:32 -0600 ]             18206 INFO   :: START        : Working dir: /root
[ 1510515812 | Sun, 12 Nov 2017 13:43:32 -0600 ]             18206 WARN   :: EXIT         : Script exit. Caller = 1 main /root/bin/sak-cli
[ 1510515817 | Sun, 12 Nov 2017 13:43:37 -0600 ]             18232 INFO   :: START        : Command line: sak-cli --help
[ 1510515817 | Sun, 12 Nov 2017 13:43:37 -0600 ]             18232 INFO   :: START        : Working dir: /root
[ 1510515817 | Sun, 12 Nov 2017 13:43:37 -0600 ]             18232 INFO   :: START        : Parsed  Args: --help
[ 1510515817 | Sun, 12 Nov 2017 13:43:37 -0600 ]             18232 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1518307192 | Sat, 10 Feb 2018 17:59:52 -0600 ]             15155 INFO   :: START        : Command line: sak-cli --help
[ 1518307192 | Sat, 10 Feb 2018 17:59:52 -0600 ]             15155 INFO   :: START        : Working dir: /root/bin
[ 1518307192 | Sat, 10 Feb 2018 17:59:52 -0600 ]             15155 INFO   :: START        : Parsed  Args: --help
[ 1518307192 | Sat, 10 Feb 2018 17:59:52 -0600 ]             15155 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1518307272 | Sat, 10 Feb 2018 18:01:12 -0600 ]             15209 INFO   :: START        : Command line: sak-cli replace --help
[ 1518307272 | Sat, 10 Feb 2018 18:01:12 -0600 ]             15209 INFO   :: START        : Working dir: /root/bin
[ 1518307272 | Sat, 10 Feb 2018 18:01:12 -0600 ]             15209 INFO   :: START        : Parsed  Args: replace --help
[ 1518307272 | Sat, 10 Feb 2018 18:01:12 -0600 ]             15209 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli_replace /root/bin/.sak/modules/cli
[ 1518492703 | Mon, 12 Feb 2018 21:31:43 -0600 ]              8000 INFO   :: START        : Command line: sak-cli --help
[ 1518492703 | Mon, 12 Feb 2018 21:31:43 -0600 ]              8000 INFO   :: START        : Working dir: /root
[ 1518492703 | Mon, 12 Feb 2018 21:31:43 -0600 ]              8000 INFO   :: START        : Parsed  Args: --help
[ 1518492703 | Mon, 12 Feb 2018 21:31:43 -0600 ]              8000 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1527099145 | Wed, 23 May 2018 13:12:25 -0500 ]             29187 INFO   :: START        : Command line: sak-cli --help
[ 1527099145 | Wed, 23 May 2018 13:12:25 -0500 ]             29187 INFO   :: START        : Working dir: /root
[ 1527099145 | Wed, 23 May 2018 13:12:25 -0500 ]             29187 INFO   :: START        : Parsed  Args: --help
[ 1527099145 | Wed, 23 May 2018 13:12:25 -0500 ]             29187 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1527099189 | Wed, 23 May 2018 13:13:09 -0500 ]             29222 INFO   :: START        : Command line: sak-cli info
[ 1527099189 | Wed, 23 May 2018 13:13:09 -0500 ]             29222 INFO   :: START        : Working dir: /home/holyshovel/public_html
[ 1527099189 | Wed, 23 May 2018 13:13:09 -0500 ]             29222 INFO   :: START        : Parsed  Args: info
[ 1527099191 | Wed, 23 May 2018 13:13:11 -0500 ]             29222 WARN   :: EXIT         : Script exit. Caller = 1 sak_cli /root/bin/.sak/modules/cli
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 INFO   :: START        : Command line: sak-cli info
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 INFO   :: START        : Working dir: /home/holyshovel/public_html/joomla.holyshovel.com
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 INFO   :: START        : Parsed  Args: info
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 ERROR  :: SAK_FATAL    : sak_fatal called. Caller = 329 sak_cli_get_installs /root/bin/.sak/modules/cli
[ 1527099299 | Wed, 23 May 2018 13:14:59 -0500 ]             29392 WARN   :: EXIT         : Script exit. Caller = 1 sak_fatal /root/bin/sak-cli
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Command line: sak-cli info
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Working dir: /home/holyshovel/public_html/drupal.holyshovel.com
[ 1527099314 | Wed, 23 May 2018 13:15:14 -0500 ]             29443 INFO   :: START        : Parsed  Args: info
